,ModelNickname,Estimator,Xvars,HyperParams,Scaler,Observations,Tuned,CrossValidated,DynamicallyTested,Integration,TestSetLength,TestSetRMSE,TestSetMAPE,TestSetMAE,TestSetR2,LastTestSetPrediction,LastTestSetActual,CILevel,CIPlusMinus,InSampleRMSE,InSampleMAPE,InSampleMAE,InSampleR2,ValidationSetLength,ValidationMetric,ValidationMetricValue,models,weights,LevelTestSetRMSE,LevelTestSetMAPE,LevelTestSetMAE,LevelTestSetR2,LevelInSampleRMSE,LevelInSampleMAPE,LevelInSampleMAE,LevelInSampleR2,best_model,Series,FcstMAPE,ObjectEstimator,Used Anomalies
118,silverkite_tune_uv,silverkite,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01']",{'changepoints': 1},,249,True,False,True,0,4,91474.7124560622,0.23890508707384392,65893.47714307896,-1.93726421047847,393477.4215411374,252301.0,0.95,201990.36039655257,91885.61838145438,0.51434355633619,60795.184021457266,0.20363870965185493,36,rmse,212986.27647226103,,,91474.7124560622,0.23890508707384392,65893.47714307896,-1.93726421047847,91885.61838145438,0.51434355633619,60795.184021457266,0.20363870965185493,False,IAH-Int,0.05873676144730609,Forecaster,False
119,silverkite_cv_uv,silverkite,,{'changepoints': 2},,249,True,True,True,0,4,91474.7124560622,0.23890508707384392,65893.47714307896,-1.93726421047847,393477.4215411374,252301.0,0.95,120610.12424570209,91885.61838145438,0.51434355633619,60795.184021457266,0.20363870965185493,,rmse,122317.55307447478,,,91474.7124560622,0.23890508707384392,65893.47714307896,-1.93726421047847,91885.61838145438,0.51434355633619,60795.184021457266,0.20363870965185493,False,IAH-Int,0.05873676144730609,Forecaster,False
120,knn_tune_mv,knn,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01']",{'n_neighbors': 92},minmax,249,True,False,True,0,4,85160.67413920784,0.2437337513211122,69562.69565217392,-1.5457695583621667,384826.76086956525,252301.0,0.95,182792.73961185385,79813.92114682379,0.4972922904553776,47053.3937538273,0.3765692031793537,36,mae,93646.66567028985,,,85160.67413920784,0.2437337513211122,69562.69565217392,-1.5457695583621667,79813.92114682379,0.4972922904553776,47053.3937538273,0.3765692031793537,False,IAH-Int,0.08803001078982255,Forecaster,False
121,auto_arima_anom,arima,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01']","{'order': (5, 1, 4), 'seasonal_order': (1, 0, 1, 12)}",,249,False,False,True,0,4,82259.47020933188,0.2508192414578401,81708.4330747461,-1.3752685794736252,183201.0524432123,252301.0,0.95,58535.3205978984,36608.54926051483,0.1405229483799451,23240.633394469605,0.8735903891491446,,,,,,82259.47020933188,0.2508192414578401,81708.4330747461,-1.3752685794736252,36608.54926051483,0.1405229483799451,23240.633394469605,0.8735903891491446,False,IAH-Int,0.060515638477432146,Forecaster,False
122,arima_cv_uv,arima,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01']","{'order': (2, 1, 0), 'seasonal_order': (0, 1, 1, 12)}",,249,True,True,True,0,4,85878.71834004397,0.2699594649275029,85490.71935883246,-1.5888805717738492,156364.37620496837,252301.0,0.95,78286.60020195748,37084.88713973256,0.12071877283039166,20829.56544679403,0.870279390648631,,rmse,74457.00698500132,,,85878.71834004397,0.2699594649275029,85490.71935883246,-1.5888805717738492,37084.88713973256,0.12071877283039166,20829.56544679403,0.870279390648631,False,IAH-Int,0.07295518161963208,Forecaster,False
123,lstm,rnn,,"{'lags': 48, 'layers_struct': [('LSTM', {'units': 100, 'dropout': 0, 'return_sequences': False}), ('LSTM', {'units': 100, 'dropout': 0, 'return_sequences': False}), ('Dense', {'units': 10}), ('Dense', {'units': 10})], 'epochs': 8, 'random_seed': 42, 'validation_split': 0.2}",minmax,249,False,False,,0,4,121395.39609890072,0.32344200116642,111605.33651563263,-4.173034092724023,208737.57080838233,252301.0,0.95,238886.64899636147,90012.35238242013,0.6115780205205104,60717.36772969752,0.21462429742996303,,,,,,121395.39609890072,0.32344200116642,111605.33651563263,-4.173034092724023,90012.35238242013,0.6115780205205104,60717.36772969752,0.21462429742996303,False,IAH-Int,0.1421706196558092,Forecaster,False
124,sgd_cv_mv,sgd,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01']","{'penalty': 'l1', 'l1_ratio': 0, 'learning_rate': 'constant'}",minmax,249,True,True,True,0,4,113808.4679165792,0.3248655166419514,107687.736769934,-3.546634692963398,165758.44249677018,252301.0,0.95,54637.68958215732,34522.50064733351,0.15558666699082666,25211.166312589306,0.8833632392711727,,mae,125506.79045615961,,,113808.4679165792,0.3248655166419514,107687.736769934,-3.546634692963398,34522.50064733351,0.15558666699082666,25211.166312589306,0.8833632392711727,False,IAH-Int,0.11938023505371183,Forecaster,False
125,prophet_cv_uv,prophet,[],{'n_changepoints': 0},,249,True,True,True,0,4,104652.03142742868,0.32495423711209837,104297.24199440355,-2.844467851231755,345978.31573503104,252301.0,0.95,155923.21473400373,84658.70363761653,0.48534061252723026,52122.68048649245,0.32398196148915226,,rmse,77894.40589301808,,,104652.03142742868,0.32495423711209837,104297.24199440355,-2.844467851231755,84658.70363761653,0.48534061252723026,52122.68048649245,0.32398196148915226,False,IAH-Int,0.08659283182653668,Forecaster,False
126,sgd_tune_mv,sgd,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01']","{'penalty': 'l1', 'l1_ratio': 0, 'learning_rate': 'constant'}",minmax,249,True,False,True,0,4,116394.73272471294,0.3330850645292285,110643.52788262343,-3.7556245724321773,166578.01972430575,252301.0,0.95,61237.437419902606,34943.876776961486,0.151107086580988,25698.480815663606,0.8804985630816764,36,mae,152850.09382091634,,,116394.73272471294,0.3330850645292285,110643.52788262343,-3.7556245724321773,34943.876776961486,0.151107086580988,25698.480815663606,0.8804985630816764,False,IAH-Int,0.10637887684948058,Forecaster,False
127,mlr_tune_mv,mlr,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01']",{},minmax,249,True,False,True,0,4,148043.6902325119,0.41633955769404685,139490.47419287858,-6.69344249082317,144211.94768789608,252301.0,0.95,67316.06896573394,32182.306086801225,0.13921030837665124,22042.047196248088,0.8986403087121608,36,mae,184021.80622431554,,,148043.6902325119,0.41633955769404685,139490.47419287858,-6.69344249082317,32182.306086801225,0.13921030837665124,22042.047196248088,0.8986403087121608,False,IAH-Int,0.09164034508236128,Forecaster,False
128,mlr_cv_mv,mlr,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01']",{},,249,True,True,True,0,4,148043.69027341466,0.4163395579118259,139490.47425276687,-6.693442495074388,144211.94754831996,252301.0,0.95,60054.419038978485,32182.30608680123,0.13921030822688993,22042.047206325245,0.8986403087121608,,mae,139516.26617813602,,,148043.69027341466,0.4163395579118259,139490.47425276687,-6.693442495074388,32182.30608680123,0.13921030822688993,22042.047206325245,0.8986403087121608,False,IAH-Int,0.09164034494688535,Forecaster,False
