V1,auto_select,avg_top_2,avg_top_4,avg_top_6,elasticnet,gbt,knn,lightgbm,svr,weighted_top_2,weighted_top_4,weighted_top_6,xgboost
W196,6.347844383479488,3.074462220168703,3.739770481220485,4.064337380515757,6.347844383479488,3.998441656462306,6.531635232895507,3.8396079849840614,1.682052166115166,6.0629210380416865,5.759418621857341,5.57243536144462,6.905748546362625
W197,1.9091078597444533,1.9555629704699151,1.9440830742323851,1.9382542951756465,2.075731804609264,2.588862214762992,4.916525206783592,2.4632054705067583,1.5020933256201578,1.9096394467508229,1.9091078597444533,1.9141832802730483,2.505844797583471
W198,6.070804087992478,6.486777729824624,6.391247789693261,6.349696374716389,6.9050543775459525,3.901220347003608,5.701126987562661,5.319532471628691,6.070804087992478,6.105381110815855,6.14228169286245,6.165051104358605,3.122703913853092
W199,10.134175237488991,4.281391101073952,4.2839248901989775,4.2850281235664145,10.134135714135882,4.292451007266853,4.6149600725017645,4.270339938019744,9.085399664907746,4.291529014156922,4.290545596707416,4.289939055893612,10.134175237488991
W200,12.551030534374535,6.230101508795408,6.160782308078296,6.130718910305525,12.551030534374535,6.323155933995579,45.63587020727033,6.536954009871443,73.30330621580217,6.264865660727267,6.202800823906993,6.164577295529215,7.349277645977599
W201,5.001649051082564,16.352847751228474,13.696013174491,12.549606111802236,5.001649051082564,7.529823991348739,28.322583068109015,3.1239858588949962,1.834597874699283,5.923449276581504,6.91158868588421,7.523576043529857,10.512558616346269
W202,0.893938262780489,0.8957975040801669,0.8925633817661146,0.8914136507346364,2.636074100441314,1.0822030689596869,1.1631920391938573,3.65851229553532,2.2969233942260665,0.893938262780489,0.8901687381605344,0.8886643803141087,6.272503955583727
W203,6.916120253732354,6.916120253732354,6.779170830069401,6.732860233586941,5.203488759988211,7.984128282243859,15.760115940375293,8.433515679840749,13.265978954388027,6.367137860143783,6.500969133873877,6.546655815587899,4.336954582134801
W204,0.15288129821484547,0.15288129821484547,0.15266631625864346,0.15259402209902986,0.4486985914197752,0.1653584452546438,0.15191406548509392,0.1678063865560024,0.2664043145836638,0.1520213879479218,0.15223255626481869,0.15230425597653957,0.1737210267665265
W205,7.4721020487148975,2.175398302727338,2.164114681048641,2.1592013041243523,2.126136443695566,2.1211403350976217,2.3438621395983166,1.8902675184615056,2.2345197160176555,2.1302440025866956,2.1346250284927244,2.13732701234575,7.4721020487148975
