V1,auto_select,avg_all,avg_top2,avg_top4,elasticnet,knn,lasso,lightgbm,ridge,xgboost
H76,21.50330304982417,21.50330304982417,10.648099196861827,10.816052763035403,10.625720362802216,30.18497043597218,10.671550310073286,45.80497786453018,11.356389664178367,34.51177979675386
H77,16.36958712667565,15.247754990135434,17.104309719635747,16.300798011627933,13.707269475529221,13.802076758001233,13.67675752673057,18.314506292556686,14.077656440811873,16.36958712667565
H78,1.7458640803447236,1.8473682269919756,1.7458640803447236,1.8031761119491503,1.9622951410859506,2.051932150735862,2.3073782658365505,1.9008323824829205,2.352956013261709,2.0882439312528356
H79,3.2683914268968035,3.1142608963659995,3.0966100789964432,3.103832310849618,3.2825305053413336,3.1765433130460567,2.9521106389626564,3.2527964856786786,3.2683914268968035,3.962670939118277
H80,2.4003798432547296,2.4471106629046018,2.5218751608898,2.4003798432547296,2.444282703877031,4.649196887956775,2.443643518716179,2.2882479775765727,2.4822060595808546,2.891456926376218
H81,4.909165315775186,3.5088022432229535,3.187057334064862,3.4620273497543916,4.2737884110661,3.5574730633242875,4.909165315775186,4.170327957271037,4.877023296264678,5.269978740467432
H82,3.763040556655374,3.763040556655374,4.626658482815365,3.9866220332403444,4.064079345455986,4.8666907605789875,4.7222923701106145,5.011649253044756,5.19549796756959,4.591304718257555
H83,27.618992472494075,26.01942650155956,26.865302339023454,26.294112904784168,23.95108647942551,41.9980919772715,26.5709457105744,27.618992472494075,25.815333619366193,28.183367806674763
H84,2.9662528294315775,2.0208075399443555,1.9302093243006475,1.7497660012277039,1.1866858743221056,2.9662528294315775,0.3322864256735663,7.68058162886739,1.299033295008967,3.5611362491828733
H85,13.195123024126248,13.47295301479155,13.349735344686481,13.318005046882009,14.12282794604946,13.287928133195487,14.12710376871461,13.510701756841032,14.131183095951139,13.195123024126248
H86,8.674158522128664,9.999024343961938,8.674158522128664,8.999155333060452,18.651767868712497,6.517516856483232,21.87820499472303,9.004319381514648,11.069850220743907,10.355913706162186
H87,5.731046901509656,6.240335371675735,5.084929432393613,5.907724523423259,11.527905026363985,6.7508398938138505,11.019025450190234,9.98693540103859,5.731046901509656,6.682052811420755
