date,open,high,low,close
2/22/2017,437.75,443,435.5,441
2/21/2017,439,440.75,435.25,437
2/17/2017,445.5,447.5,441.12,441.25
2/16/2017,454.25,464.25,447.5,447.75
2/15/2017,449.25,455,446.5,455
2/14/2017,450.75,452,446.62,449.75
2/13/2017,448,456,444.5,451.5
2/10/2017,442.75,450.75,441.25,449.75
2/9/2017,431,443.5,429.75,443.5
2/8/2017,430.25,433,427.75,432.75
2/7/2017,423,430,420,430
2/6/2017,428.5,432.5,423.25,423.5
2/3/2017,434.25,435.5,430.75,430.88
2/2/2017,433,437.75,429.75,435.25
2/1/2017,421.25,432.75,417.25,432.75
1/31/2017,415.5,421,413.25,421
1/30/2017,417.5,419,413.12,414.25
1/27/2017,425.5,427.5,419.5,421.75
1/26/2017,425.25,430.5,422,426.12
1/25/2017,425.38,428.88,423.25,424.25
1/24/2017,433.25,434.5,426.75,427.75
1/23/2017,429.25,433,427.5,433
1/20/2017,423,428,421.75,428
1/19/2017,430.75,430.75,423.5,423.5
1/18/2017,433.25,434.25,428.75,431
1/17/2017,426,437.62,423.75,432.75
1/13/2017,426.75,426.75,419.5,426.25
1/12/2017,418.75,429.88,414.5,425.88
1/11/2017,425,426,412.25,419
1/10/2017,426.5,427.25,423.5,427
1/9/2017,424,428.25,421.12,427.25
1/6/2017,425.75,428,422,423
1/5/2017,419.25,427,416.5,425.5
1/4/2017,406.5,418,405,418
1/3/2017,408.38,414,406.38,406.38
12/30/2016,405.75,409.25,404.75,407.75
12/29/2016,403.5,407,402.75,404.75
12/28/2016,409.75,410,400.5,401.75
12/27/2016,395.25,411,395.25,410
12/23/2016,397.5,398.25,392.75,394.38
12/22/2016,399,400.5,396.75,396.75
12/21/2016,402.75,404.5,399.25,399.5
12/20/2016,406,407.75,400.5,403
12/19/2016,412.5,413.25,403.25,405.25
12/16/2016,408.5,410.5,404.75,408.75
12/15/2016,417.75,418,408.75,409
12/14/2016,416.5,418.25,413.25,418.25
12/13/2016,416.62,420.75,414.5,418
12/12/2016,415.25,416.75,408.75,416.75
12/9/2016,409.25,416.38,404,416
12/8/2016,402.38,409.25,402,407.75
12/7/2016,406.75,407.5,399.75,401.25
12/6/2016,409.5,413,406.25,407
12/5/2016,405.25,410,404.75,408.5
12/2/2016,397.75,403,396.75,403
12/1/2016,403.75,404.5,393.25,395.75
11/30/2016,409.5,414,403,403
11/29/2016,415.25,415.5,408,408.25
11/28/2016,420.5,421.25,414.5,418
11/25/2016,401.62,403.5,396.75,396.75
11/23/2016,407,407.25,396.62,401.5
11/22/2016,410.5,411.75,406.25,406.25
11/21/2016,409,412,404.75,410.75
11/18/2016,403,410,400.5,408.75
11/17/2016,398.25,406.25,396.75,403.25
11/16/2016,400,401,397,397
11/15/2016,394.75,402,393,399
11/14/2016,403.5,403.75,392.75,394
11/11/2016,405.75,407.5,401.25,402
11/10/2016,408.5,414.25,402.5,405
11/9/2016,416,417.75,404,407.75
11/8/2016,410.5,419.75,408.38,414.5
11/7/2016,414.12,415.75,406.75,408.5
11/4/2016,411.75,415.25,410.5,414.25
11/3/2016,417.75,420,409.5,411.5
11/2/2016,414.38,420.25,412.25,418.5
11/1/2016,416,418.25,411,414
10/31/2016,410.75,416.75,409.25,415.25
10/28/2016,415.75,417.5,407.62,408
10/27/2016,412,418.75,411.75,415
10/26/2016,403.5,414.12,403,411.75
10/25/2016,403.75,406.5,398.88,404.75
10/24/2016,413.5,416.88,400.75,403.5
10/21/2016,416.75,418.25,413.5,414.5
10/20/2016,420.12,422.75,415.5,417
10/19/2016,420.12,422.5,414,420
10/18/2016,425,425.5,418.5,419.5
10/17/2016,418.75,425.5,416.25,424.25
10/14/2016,415.5,428.25,415.25,420.75
10/13/2016,397.75,417,397.5,416.5
10/12/2016,404.88,414,396.25,397.5
10/11/2016,404,408.75,401.5,407.25
10/10/2016,397.25,405.38,397.25,404.25
10/7/2016,397.25,401,394.5,395
10/6/2016,407.75,409.5,393.5,395.25
10/5/2016,395.5,408.25,392,405.5
10/4/2016,395.75,398.25,393,395.75
10/3/2016,400.5,401.75,391.75,396.75
9/30/2016,398.75,403.88,390.25,401.75
9/29/2016,402.5,406.75,398,399
9/28/2016,404.75,407.25,402,403.38
9/27/2016,398,405,394.25,404.25
9/26/2016,403.75,407,395.5,396
9/23/2016,404.25,409.5,401.38,405.25
9/22/2016,406,411.75,404.5,405.75
9/21/2016,405,409,402.5,408.25
9/20/2016,403.25,410,401.5,405.75
9/19/2016,404.75,409,400,404
9/16/2016,398.75,404.5,394.25,403.88
9/15/2016,402,406.75,398.25,399.5
9/14/2016,400.75,404.25,395.25,402.25
9/13/2016,408,410.88,399.25,400
9/12/2016,402.5,410,400,408.75
9/9/2016,405.5,406,397.12,403
9/8/2016,403,406.75,398.5,406
9/7/2016,398.12,405,397.5,402.5
9/6/2016,398.25,402.75,395,398
9/2/2016,394.5,401.5,394.5,399
9/1/2016,391.5,397.25,389.75,394.62
8/31/2016,392.88,395.75,387,387.5
8/30/2016,397,400.75,391.75,392.5
8/29/2016,407.25,407.75,395.5,397.25
8/26/2016,401,402.38,381.25,384.12
8/25/2016,404.75,408,401.38,401.38
8/24/2016,407.88,409.25,403,404.5
8/23/2016,414.75,415,407,407.5
8/22/2016,427.25,429.12,414.75,415.25
8/19/2016,426.62,432.5,422.5,427.5
8/18/2016,424.5,428,420,427.25
8/17/2016,423.38,428.38,419.75,426.25
8/16/2016,420.88,427.88,414.88,423.5
8/15/2016,422,430,417.25,422.62
8/12/2016,416.12,422.62,406.62,422.62
8/11/2016,420.5,423.88,413.75,416
8/10/2016,415.88,427.5,415.5,421.12
8/9/2016,415.75,419.25,411.75,416.5
8/8/2016,419.5,423.5,411.75,417
8/5/2016,404,418.5,404,415.38
8/4/2016,411.12,416.12,403.75,404.25
8/3/2016,402.75,415,401.25,410
8/2/2016,405.75,410.5,399.38,400.75
8/1/2016,407.75,415.5,406.75,406.75
7/29/2016,411.12,412.75,403.75,407.25
7/28/2016,415.38,420,408.5,409.12
7/27/2016,415.62,421,414.25,415
7/26/2016,425.38,429.25,414.25,414.88
7/25/2016,428.25,435.25,421.25,429.5
7/22/2016,418.38,426.88,407.25,426.12
7/21/2016,413.5,419.75,409,418.25
7/20/2016,418.25,423.75,406.75,412.75
7/19/2016,427.5,428.25,416.5,418.5
7/18/2016,427.75,431.75,420.62,430.25
7/15/2016,434.75,439.75,425.5,425.5
7/14/2016,442.38,448,431.38,433.75
7/13/2016,439.38,451.5,437,441
7/12/2016,431,439.25,424,437.5
7/11/2016,437,441.88,426.75,430.75
7/8/2016,427.25,439.5,424,435.5
7/7/2016,430.38,438.75,424.5,425.62
7/6/2016,432,434,421.25,429.5
7/5/2016,431.25,432.5,416,431.5
7/1/2016,445.38,445.5,428.25,430.62
6/30/2016,445.75,453.5,438,448
6/29/2016,457.88,460.5,444,444.25
6/28/2016,458.38,467.25,456.5,458.25
6/27/2016,464,470.25,458.5,459.25
6/24/2016,454.5,455,442.25,453.25
6/23/2016,459.5,461.5,453.5,454
6/22/2016,460.5,465,458.5,458.75
6/21/2016,473.25,476.5,458,458.12
6/20/2016,477,479.75,473.75,473.75
6/17/2016,473.25,482,472.75,481.5
6/16/2016,477.38,479.5,471.25,472.5
6/15/2016,482.88,489.75,478.5,478.5
6/14/2016,491.25,493.38,481.5,484.75
6/13/2016,498.25,503.25,491.5,492
6/10/2016,509,512.5,494.62,495
6/9/2016,517.88,519,506.25,509.75
6/8/2016,508.75,523.88,506.25,520
6/7/2016,506.5,513.5,501,509.5
6/6/2016,497.75,514.75,497.75,507.75
6/3/2016,484,498,482.5,497.75
6/2/2016,474,487,473,485.5
6/1/2016,463.38,474.75,463.38,473.5
5/31/2016,480.62,483.88,463.75,463.75
5/27/2016,481.38,484.75,479,481.5
5/26/2016,465.75,481.5,465.5,480.75
5/25/2016,464,468.88,463.25,466.25
5/24/2016,462.75,470,458.25,464.5
5/23/2016,467.38,469.12,461.25,462.5
5/20/2016,468.75,474.5,464.25,468.25
5/19/2016,478.5,479.75,462.75,469.25
5/18/2016,481.38,484.5,477.25,481
5/17/2016,473.5,484.5,473.25,481.5
5/16/2016,473.75,476.75,467.75,475.75
5/13/2016,468.25,477.5,465,474.75
5/12/2016,457.62,468,457.62,468
5/11/2016,461.5,464.75,457,459
5/10/2016,457.38,468.5,455.5,462.25
5/9/2016,464,467,455,456.25
5/6/2016,462.62,470.25,462.25,464.5
5/5/2016,468.75,472.5,461.88,463.75
5/4/2016,470.75,476.5,469.12,473
5/3/2016,487.38,492.75,468.5,472
5/2/2016,486.75,490,481.5,487.12
4/29/2016,483.75,490.75,480.75,489.25
4/28/2016,483.75,497,481.5,485.75
4/27/2016,486.5,489.5,480.5,482.75
4/26/2016,478.12,488.5,474.25,488.25
4/25/2016,473.75,485.38,469,476.75
4/22/2016,492.88,493.12,465.62,467.25
4/21/2016,503.5,510.75,491,495.88
4/20/2016,485.25,503.75,485.25,503
4/19/2016,473,487.75,471.25,485.5
4/18/2016,461,477,460.75,472.5
4/15/2016,459.25,462.25,455,460.25
4/14/2016,462.5,465.5,454.5,458.5
4/13/2016,451.75,466.62,450.25,464.25
4/12/2016,447.62,457,446.75,453.5
4/11/2016,457.88,457.88,446.25,447
4/8/2016,457.5,462.5,456.5,461.5
4/7/2016,463,465.25,457.12,457.25
4/6/2016,473,473,461.75,463.25
4/5/2016,475,476.5,470.25,473.5
4/4/2016,476.38,479,470.5,474.5
4/1/2016,473.75,475.5,467,475.5
3/31/2016,464,475,455.88,474.5
3/30/2016,476,477.5,463.25,464.25
3/29/2016,471.5,477.25,471,477
3/28/2016,465.25,477.25,464,472
3/24/2016,463.13,464.38,458.62,463.5
3/23/2016,467.38,467.38,462.62,463.38
