ModelNickname,Estimator,Xvars,HyperParams,Scaler,Observations,Tuned,CrossValidated,DynamicallyTested,Integration,TestSetLength,TestSetRMSE,TestSetMAPE,TestSetMAE,TestSetR2,LastTestSetPrediction,LastTestSetActual,CILevel,CIPlusMinus,InSampleRMSE,InSampleMAPE,InSampleMAE,InSampleR2,ValidationSetLength,ValidationMetric,ValidationMetricValue,models,weights,LevelTestSetRMSE,LevelTestSetMAPE,LevelTestSetMAE,LevelTestSetR2,best_model,Series
elasticnet,elasticnet,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'alpha': 2, 'l1_ratio': 0}",minmax,168,True,True,True,1,26,37901.39485751039,1.0314350646635757,22824.327990572925,-0.0025578749147741053,1791.4032252939758,-137828.58,0.95,69159.14462311068,33140.78665165097,1.0570492691580424,21044.055686302305,0.006258841948781457,,rmse,33815.77278468682,,,42131.08502981777,0.1613334950828162,31824.42530626441,0.18389123727557166,False,GreatLakes-organic
weighted,combo,,"{'how': 'weighted', 'models': 'top_7', 'rebalance_weights': 0}",,168,False,False,,1,26,37998.83202209649,1.7508734562738952,23072.336617378744,-0.007719266122698132,5440.094406298993,-137828.58,0.95,45146.74691709985,23940.323641104012,0.9975730426050609,15515.706213739868,0.48142964484661577,,,,"['mlp', 'svr', 'knn', 'elasticnet', 'gbt', 'xgboost', 'mlr']","(0.17171912160361125, 0.1709632645413863, 0.17086451369841563, 0.1707793299790902, 0.1608241115663984, 0.15484965861109817, 0.0)",44201.286257887936,0.19478414872888974,35281.14502743141,0.10171826713940169,False,GreatLakes-organic
knn,knn,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'n_neighbors': 20, 'weights': 'uniform'}",minmax,168,True,True,True,1,26,38575.222429441725,1.2773169701528535,23561.20263461538,-0.03852258085320681,8830.179,-137828.58,0.95,60338.70890232804,33101.40470065914,1.3109900152592415,21229.10309507042,0.008619209143070239,,rmse,33776.52336984166,,,40905.418479038795,0.1561143221315398,31636.20071153847,0.23068458757855637,False,GreatLakes-organic
avg,combo,,"{'how': 'simple', 'models': 'top_5'}",,168,False,False,,1,26,38623.49188374838,1.4901230048338339,23487.577841482474,-0.04112322854581962,8120.869214041792,-137828.58,0.95,52539.81934304393,28044.79323757162,1.1550988725696592,18170.062996316778,0.2883734600178596,,,,"['mlp', 'svr', 'knn', 'elasticnet', 'gbt']",,49112.212888097456,0.2145366316672225,37980.67055205525,-0.10897500800881499,False,GreatLakes-organic
gbt,gbt,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'max_depth': 2, 'max_features': 'sqrt'}",minmax,168,True,True,True,1,26,39569.75130473259,3.3160112515488303,25505.134280933704,-0.09276231005759117,11620.571496590568,-137828.58,0.95,24562.24469068024,13333.148041927345,1.4264196978970773,10176.07827912297,0.8391529670457107,,rmse,38402.758425229724,,,126473.95891114861,0.5505821030345159,102887.31400526826,-6.354361597948343,False,GreatLakes-organic
prophet,prophet,[],{},,168,False,False,True,1,26,40004.142345341716,1.97140852658566,23764.815454285366,-0.11688637753125364,3779.627351044662,-137828.58,0.95,69136.92519717767,31198.474948302344,5.437164647704535,20000.458806696635,0.08152923869165929,,,,,,48446.37922442384,0.22983412284010812,41102.743322324815,-0.07910921669678528,False,GreatLakes-organic
mlp,mlp,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'activation': 'tanh', 'hidden_layer_sizes': (25, 25), 'solver': 'lbfgs', 'random_state': 20}",minmax,168,True,True,True,1,26,41438.98020343763,1.338215742995178,24773.754008956446,-0.19844245116812242,16595.156740085036,-137828.58,0.95,69587.30394771155,31423.349277643556,1.6731979209405226,19700.534484194886,0.10658632207096796,,rmse,33382.752582811125,,,60770.09081859827,0.2311689726542864,41532.31331675789,-0.6979407206467343,False,GreatLakes-organic
mlr,mlr,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']",{},,168,True,True,True,1,26,42063.96483384613,3.842078408903448,27405.55637280897,-0.23486498841837222,9870.523583441973,-137828.58,0.95,45299.61148632193,28580.59400538692,2.9530572261714623,20150.284298618422,0.2609222072758183,,rmse,112504.38631795939,,,61184.49942148007,0.2233990294668864,47820.438425157205,-0.721177164679943,False,GreatLakes-organic
knn,knn,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'n_neighbors': 6, 'weights': 'distance'}",minmax,169,True,True,True,0,26,44146.13875390557,0.11903345943740444,32472.26892103754,0.3986790399032376,254600.6222528886,330371.24,0.95,0.0,0.0,0.0,0.0,1.0,,rmse,35151.076570785015,,,44146.13875390557,0.11903345943740444,32472.26892103754,0.3986790399032376,True,HarrisburgScranton-conventional
gbt,gbt,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'max_depth': 2, 'max_features': 'sqrt'}",minmax,169,True,True,True,0,26,51270.59215576914,0.14071642736954046,39701.810302859805,0.1889314508255917,240847.05240907948,330371.24,0.95,29025.744701936324,14562.302749081784,0.046604335057400664,11046.01594992349,0.8845071311733496,,rmse,35944.4599885572,,,51270.59215576914,0.14071642736954046,39701.810302859805,0.1889314508255917,False,HarrisburgScranton-conventional
avg,combo,,"{'how': 'simple', 'models': 'top_5'}",,169,False,False,,0,26,55392.39243346865,0.13864305855219955,40165.233745585014,0.053280897329146204,235048.3571424353,330371.24,0.95,32029.81117652158,16033.446199957625,0.05106143306064917,11918.323588035177,0.8599933012167917,,,,"['elasticnet', 'xgboost', 'knn', 'gbt', 'svr']",,55392.39243346865,0.13864305855219955,40165.233745585014,0.053280897329146204,False,HarrisburgScranton-conventional
